id_estado,nome_estado,sigla_estado,id_regiao,nome_regiao,sigla_regiao
11,Rondônia,RO,1,Norte,N
12,Acre,AC,1,Norte,N
13,Amazonas,AM,1,Norte,N
14,Roraima,RR,1,Norte,N
15,Pará,PA,1,Norte,N
16,Amapá,AP,1,Norte,N
17,Tocantins,TO,1,Norte,N
21,Maranhão,MA,2,Nordeste,NE
22,Piauí,PI,2,Nordeste,NE
23,Ceará,CE,2,Nordeste,NE
24,Rio Grande do Norte,RN,2,Nordeste,NE
25,Paraíba,PB,2,Nordeste,NE
26,Pernambuco,PE,2,Nordeste,NE
27,Alagoas,AL,2,Nordeste,NE
28,Sergipe,SE,2,Nordeste,NE
29,Bahia,BA,2,Nordeste,NE
31,Minas Gerais,MG,3,Sudeste,SE
32,Espírito Santo,ES,3,Sudeste,SE
33,Rio de Janeiro,RJ,3,Sudeste,SE
35,São Paulo,SP,3,Sudeste,SE
41,Paraná,PR,4,Sul,S
42,Santa Catarina,SC,4,Sul,S
43,Rio Grande do Sul,RS,4,Sul,S
50,Mato Grosso do Sul,MS,5,Centro-Oeste,CO
51,Mato Grosso,MT,5,Centro-Oeste,CO
52,Goiás,GO,5,Centro-Oeste,CO
53,Distrito Federal,DF,5,Centro-Oeste,CO
