ds;casos;mortes
2020-02-26;1;0
2020-02-27;0;0
2020-02-28;0;0
2020-02-29;1;0
2020-03-01;0;0
2020-03-02;0;0
2020-03-03;0;0
2020-03-04;1;0
2020-03-05;5;0
2020-03-06;5;0
2020-03-07;6;0
2020-03-08;6;0
2020-03-09;5;0
2020-03-10;4;0
2020-03-11;35;0
2020-03-12;9;0
2020-03-13;20;0
2020-03-14;23;0
2020-03-15;79;0
2020-03-16;34;0
2020-03-17;57;1
2020-03-18;137;3
2020-03-19;193;3
2020-03-20;349;4
2020-03-21;208;7
2020-03-22;368;7
2020-03-23;378;9
2020-03-24;347;13
2020-03-25;283;12
2020-03-26;431;18
2020-03-27;432;15
2020-03-28;487;22
2020-03-29;352;22
2020-03-30;374;27
2020-03-31;1087;38
